64
#x	y	position for each electrode
0.00	0.00
0.25	0.00
0.50	0.00
0.75	0.00
1.00	0.00
1.25	0.00
1.50	0.00
1.75	0.00
2.00	0.00
2.25	0.00
2.50	0.00
2.75	0.00
3.00	0.00
3.25	0.00
3.50	0.00
3.75	0.00
4.00	0.00
4.25	0.00
4.50	0.00
4.75	0.00
5.00	0.00
5.25	0.00
5.50	0.00
5.75	0.00
6.00	0.00
6.25	0.00
6.50	0.00
6.75	0.00
7.00	0.00
7.25	0.00
7.50	0.00
7.75	0.00
8.00	0.00
8.25	0.00
8.50	0.00
8.75	0.00
9.00	0.00
9.25	0.00
9.50	0.00
9.75	0.00
10.00	0.00
10.25	0.00
10.50	0.00
10.75	0.00
11.00	0.00
11.25	0.00
11.50	0.00
11.75	0.00
12.00	0.00
12.25	0.00
12.50	0.00
12.75	0.00
13.00	0.00
13.25	0.00
13.50	0.00
13.75	0.00
14.00	0.00
14.25	0.00
14.50	0.00
14.75	0.00
15.00	0.00
15.25	0.00
15.50	0.00
15.75	0.00
2693
#a	b	m	n	rho	err/%
9	36	21	24	1.101740	2.021431
22	49	43	46	3.596970	0.736653
4	40	28	32	1.093230	2.035848
30	48	32	34	4.829700	0.591860
10	46	26	30	0.751832	2.883392
2	11	3	4	50.192800	0.210026
54	63	55	56	12.605000	0.331252
49	58	55	56	4.564740	0.616384
5	14	6	7	38.778900	0.221992
4	13	8	9	11.509900	0.346654
2	38	22	26	0.620659	3.456986
10	46	22	26	0.791620	2.746982
34	43	35	36	8.440830	0.411113
29	38	35	36	3.709590	0.719430
6	60	42	48	0.964678	2.284573
16	34	24	26	1.067570	2.080710
9	45	17	21	6.136250	0.501903
49	58	53	54	2.190940	1.100702
3	48	8	13	11.058800	0.353886
1	37	17	21	1.626130	1.424185
2	29	17	20	2.046150	1.166605
10	37	22	25	0.784658	2.769852
6	33	12	15	6.217450	0.497560
2	29	11	14	3.034360	0.841833
1	55	19	25	0.958439	2.298342
11	38	26	29	0.923588	2.378677
19	46	31	34	0.932230	2.358196
34	61	52	55	0.861626	2.537554
29	56	47	50	1.048850	2.114824
20	47	29	32	1.153390	1.938494
9	27	21	23	1.839430	1.278677
30	39	33	34	2.146420	1.120020
11	29	21	23	1.596240	1.447681
2	29	8	11	6.709160	0.473508
2	20	6	8	11.771500	0.342715
9	27	11	13	23.989200	0.254432
15	33	27	29	1.686020	1.379612
1	19	11	13	5.268940	0.556640
1	64	36	43	0.651471	3.301495
3	57	21	27	0.653917	3.289779
30	39	32	33	3.729250	0.716531
11	29	15	17	9.309360	0.388560
10	37	31	34	3.618370	0.733297
14	41	20	23	5.940600	0.512855
5	23	15	17	2.667130	0.934423
22	40	36	38	3.835860	0.701323
8	17	12	13	9.865470	0.376204
1	46	21	26	0.564709	3.782714
2	47	22	27	0.528215	4.032358
16	61	46	51	1.063460	2.088097
8	62	38	44	0.712397	3.033628
2	20	16	18	27.131300	0.244581
4	58	28	34	0.647716	3.319652
8	62	32	38	0.673958	3.196990
33	60	42	45	0.821299	2.653835
2	11	6	7	12.492300	0.332713
32	50	42	44	1.099410	2.025356
4	40	8	12	15.027800	0.305154
25	43	39	41	5.947310	0.512467
42	51	44	45	2.427830	1.009830
37	46	44	45	2.925370	0.866887
37	46	39	40	4.944950	0.582014
8	35	20	23	1.695080	1.373143
33	51	45	47	1.695930	1.372540
1	64	29	36	0.602375	3.556775
8	35	11	14	18.653500	0.278762
6	24	14	16	3.277220	0.792000
24	60	48	52	1.350860	1.679882
1	28	4	7	22.637800	0.259510
9	45	21	25	1.108850	2.009556
3	30	6	9	19.817700	0.272336
7	52	12	17	10.966800	0.355434
40	58	42	44	4.930050	0.583261
4	22	16	18	4.296520	0.644289
11	20	17	18	22.801600	0.258862
3	48	18	23	1.433820	1.592485
9	18	11	12	19.179800	0.275761
11	38	29	32	1.425250	1.601042
6	51	21	26	0.814976	2.673111
4	13	6	7	21.643000	0.263653
7	16	9	10	19.611400	0.273419
23	50	38	41	1.075100	2.067323
1	10	3	4	23.838100	0.254971
9	63	21	27	1.274270	1.770671
1	46	6	11	12.016700	0.339178
24	51	33	36	0.945251	2.328045
10	28	22	24	1.539040	1.495191
2	38	14	18	2.104230	1.139080
5	14	11	12	19.381900	0.274651
5	59	17	23	2.698160	0.925624
10	55	15	20	13.189000	0.324085
2	38	10	14	4.256890	0.648711
14	32	16	18	25.796100	0.248474
10	28	12	14	20.824400	0.267359
10	55	40	45	0.855473	2.554587
22	58	50	54	2.443810	1.004334
51	60	54	55	2.493760	0.987610
11	38	14	17	16.673600	0.291752
18	54	30	34	0.936448	2.348337
8	53	38	43	1.009470	2.190717
1	19	3	5	30.019600	0.237345
17	62	47	52	1.161080	1.926777
1	19	15	17	23.450200	0.256387
35	44	38	39	1.578640	1.461933
3	57	27	33	0.638226	3.366495
9	27	15	17	5.275670	0.556146
2	29	5	8	26.595600	0.246096
22	40	26	28	2.170500	1.109473
7	25	11	13	10.113900	0.371124
6	51	41	46	1.950540	1.215487
1	28	16	19	1.865200	1.263350
21	30	22	23	8.544000	0.408194
2	20	4	6	32.227000	0.232689
33	42	39	40	4.934450	0.582892
21	57	29	33	1.506270	1.524035
19	46	22	25	5.323440	0.552676
1	19	9	11	4.488510	0.623975
38	47	43	44	1.891980	1.247866
4	49	9	14	11.425700	0.347961
15	60	20	25	8.776240	0.401875
19	37	31	33	2.163520	1.112506
24	42	26	28	4.310280	0.642773
39	48	43	44	1.594940	1.448723
10	37	19	22	3.741210	0.714781
3	30	21	24	1.138840	1.961097
12	57	22	27	1.131170	1.973246
15	60	50	55	2.184510	1.103444
7	25	13	15	5.172500	0.563861
19	55	31	35	0.929305	2.365085
9	63	51	57	1.423580	1.602722
25	61	29	33	2.701080	0.924807
1	46	11	16	2.969540	0.856512
1	10	6	7	12.671500	0.330403
36	54	44	46	1.271360	1.774337
12	39	27	30	1.028200	2.153896
1	28	7	10	6.699610	0.473941
20	47	32	35	0.934416	2.353075
6	24	12	14	4.927880	0.583443
4	58	40	46	0.941016	2.337760
3	39	23	27	0.692566	3.115643
6	15	9	10	14.088800	0.314204
3	21	9	11	5.213990	0.560722
8	44	16	20	5.628920	0.531874
35	53	37	39	4.808330	0.593738
30	48	42	44	1.456130	1.570681
6	42	18	22	2.409390	1.016262
3	21	7	9	9.996020	0.373503
20	47	38	41	1.462620	1.564463
34	52	36	38	5.030120	0.575027
29	47	41	43	1.408820	1.617739
5	41	17	21	2.577860	0.960916
2	47	32	37	0.944534	2.329683
1	55	13	19	2.397200	1.020569
10	64	16	22	11.163500	0.352155
8	35	17	20	4.252700	0.649183
4	58	16	22	2.836290	0.888794
3	21	11	13	3.613500	0.734057
1	64	8	15	7.123160	0.455831
13	40	22	25	0.995271	2.219555
19	55	35	39	0.750182	2.889362
3	21	13	15	3.337780	0.780704
26	53	47	50	2.980160	0.854063
4	49	29	34	0.744138	2.911454
48	57	52	53	0.097586	21.079015
2	20	10	12	4.393120	0.633846
5	50	10	15	10.299100	0.367496
15	51	19	23	14.800600	0.307238
8	17	13	14	12.924400	0.327252
31	58	46	49	0.777871	2.792541
5	23	19	21	6.476680	0.484425
5	59	23	29	0.635910	3.378139
2	20	8	10	6.148930	0.501217
8	26	22	24	3.622700	0.732623
5	50	25	30	0.641202	3.351656
16	61	21	26	5.433820	0.544889
7	61	13	19	9.902690	0.375427
28	37	33	34	2.193120	1.099777
1	37	9	13	4.290160	0.644993
5	23	7	9	22.811400	0.258824
1	64	15	22	2.068380	1.155888
22	49	34	37	0.854544	2.557180
19	28	23	24	2.485430	0.990352
3	30	9	12	6.436640	0.486384
4	31	22	25	1.031830	2.146914
34	43	39	40	3.394400	0.770506
5	32	20	23	1.278530	1.765336
23	32	30	31	9.152970	0.392305
3	30	18	21	1.832140	1.283091
6	33	24	27	1.151590	1.941259
2	29	23	26	2.761410	0.908302
5	23	9	11	9.268440	0.389528
5	59	11	17	8.544710	0.408174
5	32	11	14	6.154690	0.500907
2	56	14	20	2.573630	0.962217
9	36	15	18	7.489160	0.441832
4	40	24	28	0.685852	3.144485
3	30	24	27	2.612820	0.950325
3	39	7	11	14.218000	0.312888
28	37	32	33	2.027270	1.175893
8	35	26	29	1.276810	1.767486
2	11	8	9	17.744500	0.284366
13	58	23	28	1.134630	1.967745
11	20	15	16	9.680210	0.380163
17	53	41	45	0.939177	2.342006
3	39	15	19	2.193340	1.099683
5	50	20	25	1.071050	2.074500
4	13	9	10	12.538100	0.332116
32	50	38	40	1.396080	1.630956
1	37	5	9	18.715400	0.278400
3	39	19	23	1.214510	1.849463
1	10	8	9	32.862500	0.231465
3	39	27	31	1.160410	1.927792
4	49	19	24	1.324170	1.710328
9	18	13	14	10.556600	0.362663
8	26	12	14	8.991250	0.396315
5	50	15	20	3.547330	0.744591
1	10	7	8	16.972300	0.289598
17	44	38	41	3.591650	0.737493
28	55	34	37	1.249190	1.802821
12	21	14	15	14.995900	0.305443
8	26	20	22	2.873990	0.879357
4	40	20	24	0.994198	2.221768
3	12	10	11	23.688100	0.255513
18	36	30	32	1.933890	1.224493
3	57	39	45	0.909191	2.413661
10	28	14	16	9.421550	0.385950
7	43	11	15	14.704100	0.308143
6	15	10	11	10.112500	0.371152
5	32	8	11	17.547000	0.285660
3	57	45	51	2.610590	0.950992
7	25	21	23	3.774880	0.709917
4	49	24	29	0.594703	3.600475
4	13	7	8	13.043500	0.325810
15	42	27	30	0.896594	2.445193
4	22	12	14	3.012040	0.846817
40	49	45	46	3.556930	0.743038
21	39	33	35	1.996540	1.191385
2	38	30	34	2.656260	0.937553
21	30	27	28	3.044710	0.839548
4	22	14	16	2.609100	0.951438
45	54	52	53	0.697434	3.095078
45	54	47	48	2.626050	0.946391
40	49	47	48	9.327080	0.388143
21	39	35	37	5.112160	0.568517
2	11	9	10	32.498000	0.232161
18	54	26	30	1.445800	1.580693
5	50	30	35	0.726600	2.977640
5	41	9	13	13.579800	0.319632
16	61	26	31	1.145120	1.951271
29	38	33	34	1.756860	1.330813
9	36	27	30	1.403660	1.623063
27	54	33	36	1.302350	1.736146
7	52	32	37	0.713632	3.028671
5	14	8	9	12.256800	0.335851
4	31	13	16	2.933450	0.864966
42	51	45	46	3.536040	0.746427
5	59	29	35	0.648531	3.315694
19	28	22	23	2.927190	0.866454
21	57	25	29	3.377790	0.773462
4	31	16	19	2.269080	1.068630
40	58	54	56	5.544420	0.537399
21	48	42	45	2.056810	1.161437
4	22	8	10	10.512600	0.363472
4	40	12	16	4.061320	0.671793
4	49	39	44	1.970780	1.204743
13	22	18	19	6.466960	0.484898
11	47	15	19	15.425000	0.301658
4	22	10	12	5.224570	0.559929
1	19	5	7	14.625900	0.308885
22	58	30	34	1.371910	1.656706
4	58	22	28	0.593499	3.607435
11	20	13	14	14.975100	0.305632
10	28	24	26	3.947970	0.686218
13	31	15	17	21.977500	0.262218
30	57	45	48	1.153080	1.938970
6	51	26	31	0.659812	3.261900
4	58	46	52	2.196480	1.098353
13	31	25	27	1.610510	1.436355
8	53	33	38	0.744491	2.910154
5	14	7	8	16.847000	0.290492
36	63	42	45	1.200720	1.868759
5	14	9	10	11.169300	0.352060
13	40	16	19	20.549100	0.268671
25	61	37	41	0.939996	2.340113
11	20	12	13	23.715200	0.255415
10	28	18	20	4.026020	0.676198
8	17	10	11	15.963800	0.297193
18	36	32	34	5.132290	0.566951
23	41	27	29	1.943160	1.219460
24	42	30	32	1.214510	1.849463
7	34	10	13	17.974500	0.282894
5	23	11	13	4.960850	0.580691
2	38	26	30	1.101830	2.021280
22	40	32	34	1.327930	1.705965
11	38	23	26	0.820989	2.654774
10	46	34	38	1.024110	2.161822
4	22	6	8	28.365100	0.241310
1	37	21	25	0.684805	3.149034
5	14	10	11	10.274600	0.367969
20	38	26	28	1.506950	1.523424
25	43	31	33	1.264890	1.782546
5	41	25	29	0.714185	3.026457
5	50	35	40	1.076650	2.064591
16	61	31	36	0.801735	2.714461
7	34	28	31	3.159110	0.815279
6	24	8	10	27.037900	0.244841
7	16	12	13	10.875000	0.357004
5	50	40	45	1.718250	1.356911
35	62	44	47	0.952675	2.311223
14	23	19	20	7.006020	0.460621
16	61	36	41	0.753992	2.875617
8	26	18	20	3.217200	0.803616
5	59	35	41	0.734119	2.948877
33	42	34	35	8.080190	0.421903
28	37	34	35	3.432230	0.763881
28	37	29	30	9.996350	0.373496
5	59	41	47	0.885930	2.472587
7	61	19	25	2.209070	1.093059
15	33	23	25	1.128530	1.977465
4	31	7	10	19.555800	0.273715
2	20	14	16	7.841980	0.429574
13	58	43	48	1.042210	2.127219
18	63	43	48	0.806614	2.699067
5	59	47	53	1.792600	1.307656
14	32	26	28	1.684630	1.380610
17	62	22	27	2.952580	0.860459
7	61	31	37	0.652922	3.294534
6	15	8	9	19.332700	0.274919
12	39	15	18	20.556400	0.268636
6	15	12	13	14.866200	0.306630
6	24	10	12	10.315300	0.367185
12	21	18	19	12.416600	0.333709
8	53	43	48	2.361560	1.033415
12	21	19	20	26.212400	0.247218
12	30	14	16	22.888100	0.258524
18	45	27	30	1.141800	1.956452
4	31	10	13	6.222660	0.497286
24	51	30	33	1.442390	1.584030
12	30	16	18	11.995400	0.339479
12	30	18	20	6.275690	0.494515
18	45	36	39	1.256390	1.793460
12	30	22	24	1.076990	2.063993
5	41	21	25	0.714219	3.026321
20	38	22	24	6.982140	0.461617
36	45	41	42	2.013460	1.182796
12	30	24	26	1.538620	1.495553
19	46	40	43	2.197150	1.098070
20	38	24	26	2.546440	0.970683
12	30	26	28	3.905360	0.691857
45	63	53	55	1.059780	2.094760
40	58	48	50	0.763775	2.840954
12	39	18	21	8.158350	0.419483
17	53	33	37	0.745190	2.907583
37	64	58	61	3.633730	0.730914
12	39	21	24	1.735510	1.345100
18	54	34	38	0.772477	2.810858
12	39	24	27	0.840581	2.596845
7	16	13	14	17.079000	0.288847
4	40	16	20	2.437130	1.006623
18	54	42	46	1.227370	1.831860
12	39	33	36	3.761890	0.711783
18	54	46	50	1.905560	1.240180
12	48	16	20	17.511400	0.285897
22	31	25	26	2.220550	1.088284
20	56	24	28	3.627640	0.731856
20	56	28	32	1.461200	1.565819
12	48	32	36	0.824053	2.645532
20	56	32	36	0.947486	2.322953
27	54	30	33	2.957560	0.859295
12	48	36	40	1.179560	1.899244
9	18	12	13	10.241300	0.368614
20	56	36	40	0.864097	2.530782
25	61	41	45	0.634450	3.385523
51	60	55	56	2.975470	0.855143
12	48	40	44	2.015260	1.181891
20	56	40	44	0.763132	2.843205
12	57	17	22	14.962800	0.305744
16	34	18	20	25.810100	0.248431
2	20	12	14	4.333940	0.640189
16	34	28	30	1.904230	1.240928
15	33	29	31	4.630890	0.609998
12	57	37	42	0.822517	2.650156
1	19	13	15	8.564410	0.407625
12	57	42	47	1.048430	2.115604
12	57	47	52	3.187360	0.809554
13	22	14	15	26.406700	0.246645
29	56	41	44	0.744575	2.909844
13	22	16	17	9.065570	0.394454
34	61	37	40	3.782660	0.708805
13	22	17	18	10.158600	0.370236
29	56	44	47	0.902021	2.431501
13	22	19	20	7.417190	0.444476
13	22	20	21	10.019500	0.373025
13	31	17	19	12.663600	0.330503
14	32	20	22	5.790440	0.521762
13	31	21	23	1.979150	1.200365
3	12	5	6	27.928900	0.242433
13	31	23	25	1.138870	1.961049
13	31	27	29	3.958530	0.684839
13	40	25	28	0.821125	2.654362
46	64	58	60	1.549180	1.486513
13	40	28	31	0.967873	2.277590
37	55	43	45	1.013000	2.183674
13	40	31	34	1.382870	1.644918
37	55	51	53	3.888350	0.694142
13	40	34	37	2.700780	0.924891
13	49	17	21	18.505600	0.279636
13	49	21	25	2.225180	1.086372
19	64	34	39	0.781610	2.779993
18	27	25	26	7.462880	0.442791
23	32	25	26	3.098000	0.828020
11	47	19	23	4.588210	0.614097
10	55	30	35	0.708344	3.050016
23	32	29	30	3.875540	0.695877
13	49	29	33	0.809248	2.690833
13	49	33	37	0.780114	2.784999
13	49	37	41	1.208700	1.857539
13	49	41	45	1.802230	1.301574
19	64	54	59	2.129250	1.127686
8	62	26	32	0.731983	2.956988
13	58	33	38	0.698706	3.089752
5	32	23	26	1.126620	1.980531
20	29	24	25	2.179810	1.105458
16	34	30	32	4.542290	0.618593
13	58	38	43	0.752412	2.881300
14	50	22	26	1.317390	1.718259
4	31	25	28	2.678920	0.931056
19	28	26	27	8.309810	0.414925
24	33	26	27	3.036290	0.841406
24	33	31	32	8.899990	0.398642
13	58	48	53	1.751000	1.334700
14	23	15	16	27.478800	0.243630
30	57	42	45	0.727317	2.974871
14	23	17	18	13.538600	0.320090
11	47	31	35	0.819765	2.658484
14	23	18	19	7.381570	0.445803
14	23	20	21	6.930220	0.463806
11	56	31	36	0.710448	3.041485
14	32	18	20	11.030800	0.354354
14	32	22	24	1.095240	2.032423
14	32	24	26	1.111010	2.005978
14	41	17	20	23.018600	0.258018
14	41	23	26	1.017970	2.173839
14	41	26	29	0.843071	2.589675
14	41	29	32	0.959468	2.296058
14	41	32	35	1.328310	1.705525
15	42	30	33	0.978255	2.255216
10	55	20	25	2.513710	0.981116
18	27	19	20	41.464200	0.218584
18	27	24	25	3.032680	0.842206
23	32	24	25	7.659690	0.435766
9	54	19	24	3.123490	0.822645
17	26	18	19	30.401100	0.236492
17	26	23	24	3.112890	0.824869
22	31	23	24	9.035360	0.395207
14	50	26	30	0.889654	2.462946
14	50	30	34	0.791414	2.747652
14	50	38	42	1.175630	1.905027
22	31	29	30	9.762670	0.378382
14	50	42	46	2.950330	0.860986
21	48	24	27	4.313670	0.642401
26	44	34	36	1.016710	2.176323
14	59	19	24	10.917300	0.356277
23	41	25	27	4.423920	0.630613
19	37	33	35	4.915370	0.584497
24	42	28	30	1.999560	1.189841
14	59	29	34	0.839047	2.601283
20	29	22	23	4.520080	0.620800
23	41	35	37	1.629290	1.421751
17	35	31	33	5.107930	0.568848
14	59	34	39	0.663542	3.244516
24	42	38	40	5.409270	0.546594
14	59	39	44	0.802124	2.713227
5	32	26	29	2.892350	0.874850
4	58	10	16	8.713410	0.403551
20	29	27	28	9.413670	0.386131
25	34	27	28	2.990870	0.851612
25	34	32	33	8.835600	0.400313
26	35	30	31	1.721620	1.354586
14	59	44	49	1.011610	2.186441
14	59	49	54	2.111630	1.135682
7	52	17	22	4.212010	0.653818
12	48	24	28	0.834089	2.615738
15	24	16	17	26.863100	0.245332
15	24	21	22	4.927350	0.583488
15	24	17	18	20.608100	0.268387
15	24	22	23	6.509730	0.482825
37	64	40	43	2.675150	0.932129
1	10	5	6	16.475600	0.293222
22	58	46	50	0.895167	2.448821
16	25	20	21	8.816860	0.400803
15	24	18	19	9.806870	0.377440
15	24	19	20	8.117620	0.420738
12	48	28	32	0.775143	2.801773
15	24	20	21	6.870300	0.466374
12	57	27	32	0.816847	2.667376
15	33	19	21	12.211900	0.336463
15	33	21	23	3.123840	0.822571
15	33	25	27	1.129350	1.976153
55	64	61	62	2.539180	0.972974
55	64	56	57	0.882685	2.481054
50	59	56	57	0.304494	6.870610
15	42	21	24	3.428500	0.764528
15	42	24	27	0.980048	2.251400
46	55	50	51	3.560960	0.742389
15	42	33	36	1.328670	1.705109
15	42	36	39	2.572180	0.962664
17	35	23	25	1.523180	1.508996
15	51	27	31	0.873323	2.505836
15	51	31	35	0.753810	2.876271
4	13	11	12	37.629400	0.223599
22	49	40	43	1.145920	1.950027
15	51	35	39	0.733665	2.950597
49	58	54	55	1.492590	1.536451
15	51	39	43	1.072630	2.071694
15	60	30	35	0.798309	2.725384
1	64	43	50	0.822870	2.649092
24	42	36	38	1.740130	1.341979
10	64	28	34	0.780261	2.784506
15	60	35	40	0.769400	2.821422
15	60	40	45	0.661635	3.253379
6	33	27	30	3.154060	0.816313
14	50	18	22	16.166900	0.295587
26	35	28	29	3.003670	0.848704
26	35	33	34	8.559040	0.407775
15	60	45	50	1.013510	2.182660
13	49	25	29	0.838926	2.601633
16	25	17	18	39.934700	0.220469
16	25	22	23	2.659170	0.936713
37	64	43	46	1.527180	1.505487
16	25	18	19	15.705000	0.299299
16	25	23	24	7.446530	0.443392
17	62	32	37	0.800429	2.718614
16	25	19	20	11.428200	0.347922
16	25	21	22	4.808310	0.593740
16	34	26	28	1.159630	1.928974
17	35	29	31	1.954050	1.213608
16	43	22	25	1.740890	1.341467
16	43	25	28	0.987311	2.236084
1	19	7	9	6.120070	0.502782
16	43	31	34	1.000180	2.209492
17	44	29	32	0.911090	2.408983
16	43	37	40	3.860510	0.697927
18	36	24	26	1.520390	1.511454
9	18	14	15	11.120400	0.352864
16	52	20	24	12.459100	0.333148
16	52	24	28	1.271590	1.774046
16	52	28	32	0.880560	2.486633
16	52	32	36	0.762941	2.843874
5	14	12	13	26.205200	0.247239
16	52	36	40	0.858192	2.547030
50	59	55	56	2.785400	0.901938
31	49	43	45	1.267040	1.779809
16	52	40	44	0.944332	2.330145
16	61	41	46	0.785700	2.766403
17	26	21	22	6.202830	0.498334
17	26	22	23	1.957870	1.211570
18	27	20	21	24.953900	0.251144
19	64	29	34	1.281180	1.762035
17	35	19	21	30.242600	0.236844
14	59	24	29	1.108130	2.010751
17	35	21	23	6.524860	0.482098
17	35	25	27	1.101610	2.021650
17	44	20	23	18.710100	0.278431
17	44	23	26	1.754760	1.332203
17	44	32	35	0.960841	2.293019
18	45	30	33	0.961466	2.291639
17	53	21	25	7.649090	0.436135
17	53	25	29	1.287100	1.754710
17	53	29	33	0.934771	2.352246
17	53	37	41	0.923716	2.378371
10	28	16	18	6.484200	0.484059
17	62	27	32	1.156740	1.933371
17	62	42	47	0.747834	2.897902
18	27	21	22	10.544900	0.362878
1	64	50	57	1.502890	1.527082
18	27	23	24	2.447280	1.003151
18	36	20	22	34.532100	0.228463
15	60	25	30	1.133380	1.969728
18	36	22	24	3.026090	0.843671
11	56	16	21	13.551300	0.319948
18	36	26	28	1.195350	1.876393
23	41	31	33	1.172090	1.910269
18	36	28	30	1.385970	1.641617
23	41	33	35	1.142090	1.955998
18	45	21	24	12.911100	0.327415
18	45	24	27	1.813990	1.294234
18	45	33	36	0.986978	2.236781
18	45	39	42	3.872360	0.696309
18	54	22	26	4.165990	0.659170
3	12	4	5	33.927500	0.229516
18	63	23	28	3.254690	0.796311
18	63	28	33	1.262770	1.785254
33	60	51	54	0.752030	2.882678
7	25	19	21	3.506810	0.751237
18	63	48	53	0.899051	2.438973
2	11	5	6	20.477000	0.269021
18	63	53	58	2.258080	1.073011
26	62	38	42	0.879426	2.489621
33	42	38	39	1.460220	1.566756
4	31	19	22	1.707990	1.364044
19	28	20	21	47.731200	0.212123
1	55	31	37	0.660483	3.258758
19	28	24	25	2.202380	1.095865
34	52	48	50	2.050110	1.164679
5	41	29	33	1.152290	1.940183
20	38	30	32	1.304740	1.733276
19	37	27	29	1.210550	1.854959
24	42	32	34	1.171270	1.911488
33	51	47	49	3.172550	0.812542
19	37	29	31	1.401440	1.625366
19	46	25	28	1.742700	1.340250
28	55	46	49	1.175050	1.905883
19	46	28	31	1.128420	1.977642
19	46	34	37	0.872284	2.508619
19	46	37	40	1.410220	1.616301
24	51	42	45	0.941830	2.335886
1	64	22	29	0.542818	3.928435
25	52	40	43	0.786691	2.763132
8	17	14	15	17.586000	0.285402
19	55	43	47	1.142240	1.955763
19	55	47	51	3.344290	0.779514
20	47	26	29	1.770360	1.321956
25	52	31	34	1.400890	1.625938
35	62	47	50	0.731592	2.958477
11	47	35	39	1.005940	2.197811
26	53	29	32	3.207390	0.805556
19	64	24	29	3.001010	0.849306
19	64	39	44	0.783142	2.774886
22	31	27	28	2.011250	1.183910
19	64	44	49	0.779015	2.788689
19	64	49	54	1.044370	2.123170
25	61	33	37	1.143230	1.954216
20	29	21	22	36.636800	0.225068
13	58	18	23	11.932900	0.340370
20	38	28	30	1.315270	1.720755
25	43	33	35	1.025840	2.158462
20	38	32	34	2.051150	1.164174
25	43	27	29	4.190430	0.656313
26	44	30	32	1.671360	1.390227
5	41	33	37	2.205220	1.094672
20	38	34	36	4.949350	0.581647
20	47	23	26	5.062750	0.572412
20	47	35	38	0.970560	2.271754
20	47	41	44	2.601470	0.953732
9	18	15	16	17.056200	0.289006
20	56	44	48	1.149380	1.944666
20	56	48	52	2.851980	0.884836
1	28	22	25	2.566680	0.964364
21	30	23	24	4.506300	0.622181
7	43	35	39	2.220620	1.088255
27	45	41	43	4.615740	0.611445
21	30	24	25	2.543360	0.971653
27	45	37	39	1.106340	2.013731
2	11	7	8	12.722100	0.329762
21	30	26	27	2.111270	1.135847
21	30	28	29	9.295700	0.388882
15	51	43	47	2.044960	1.167186
21	39	23	25	6.384240	0.488986
40	49	42	43	3.252550	0.796723
21	39	25	27	2.355010	1.035818
40	49	44	45	1.189550	1.884716
21	39	27	29	1.487530	1.541101
22	40	30	32	1.139330	1.960326
21	39	29	31	1.337740	1.694697
40	49	43	44	2.358550	1.034518
1	37	25	29	1.024140	2.161763
21	39	31	33	1.487350	1.541267
40	58	44	46	2.303920	1.055032
1	46	31	36	0.923516	2.378849
4	22	18	20	7.161930	0.454281
21	48	27	30	1.796540	1.305160
21	48	30	33	1.122610	1.987000
21	48	33	36	0.892041	2.456809
21	48	36	39	0.859587	2.543172
21	48	39	42	1.412940	1.613515
32	50	34	36	4.328570	0.640773
26	62	54	58	2.542470	0.971934
19	28	25	26	3.119020	0.823581
24	33	25	26	7.535800	0.440146
21	57	33	37	0.912899	2.404545
21	57	37	41	0.911049	2.409084
24	33	28	29	1.750260	1.335192
21	57	41	45	0.732398	2.955408
36	63	39	42	4.131970	0.663202
21	57	45	49	1.309830	1.727199
6	24	18	20	3.618570	0.733266
17	62	52	57	1.507660	1.522786
23	50	32	35	1.034060	2.142650
2	11	4	5	18.653900	0.278760
3	21	15	17	5.574190	0.535433
21	57	49	53	2.617850	0.948824
14	50	34	38	0.814133	2.675704
22	31	26	27	1.903790	1.241175
22	31	28	29	3.052290	0.837883
16	52	44	48	2.183120	1.104038
22	40	24	26	5.188980	0.562608
22	40	28	30	1.479860	1.548211
22	49	25	28	3.800730	0.706240
2	47	27	32	0.691468	3.120321
15	51	23	27	1.320900	1.714143
22	49	28	31	1.694550	1.373520
5	23	17	19	4.178870	0.657660
16	61	51	56	2.064180	1.157895
22	49	31	34	1.102010	2.020977
32	59	47	50	0.811518	2.683780
3	48	28	33	0.722207	2.994721
6	24	20	22	5.164960	0.564437
23	50	29	32	1.564200	1.473865
46	64	54	56	1.183940	1.892844
13	40	19	22	7.626790	0.436915
22	49	37	40	1.098350	2.027147
5	32	17	20	2.431920	1.008417
20	29	23	24	3.148930	0.817367
22	58	26	30	3.195670	0.807889
20	29	26	27	3.457710	0.759500
25	34	26	27	7.051310	0.458750
25	34	31	32	3.337300	0.780792
22	58	34	38	0.900288	2.435855
22	58	42	46	0.909315	2.413355
23	32	26	27	2.075130	1.152679
23	32	28	29	2.037440	1.170868
23	41	37	39	3.236580	0.799818
23	50	26	29	3.379830	0.773098
23	50	35	38	0.901263	2.433403
23	50	44	47	3.294010	0.788827
23	59	27	31	2.866010	0.881334
23	59	31	35	1.266460	1.780546
23	59	39	43	0.842857	2.590290
23	59	47	51	1.339270	1.692954
17	26	20	21	13.074700	0.325437
23	59	51	55	2.090880	1.145272
24	33	27	28	2.018370	1.180331
22	58	38	42	0.827921	2.633964
25	34	30	31	2.003040	1.188068
24	33	29	30	2.353090	1.036525
1	55	37	43	0.904849	2.424430
24	33	30	31	3.250600	0.797099
1	10	2	3	28.649400	0.240596
15	42	18	21	20.900200	0.267003
24	51	36	39	0.772095	2.812165
24	51	39	42	1.013280	2.183117
24	51	45	48	2.911380	0.870239
6	42	26	30	0.792645	2.743648
26	44	32	34	1.263510	1.784308
36	45	43	44	11.475900	0.347180
36	45	38	39	2.891810	0.874982
