64
#x	y	position for each electrode
0.00	0.00
0.25	0.00
0.50	0.00
0.75	0.00
1.00	0.00
1.25	0.00
1.50	0.00
1.75	0.00
2.00	0.00
2.25	0.00
2.50	0.00
2.75	0.00
3.00	0.00
3.25	0.00
3.50	0.00
3.75	0.00
4.00	0.00
4.25	0.00
4.50	0.00
4.75	0.00
5.00	0.00
5.25	0.00
5.50	0.00
5.75	0.00
6.00	0.00
6.25	0.00
6.50	0.00
6.75	0.00
7.00	0.00
7.25	0.00
7.50	0.00
7.75	0.00
8.00	0.00
8.25	0.00
8.50	0.00
8.75	0.00
9.00	0.00
9.25	0.00
9.50	0.00
9.75	0.00
10.00	0.00
10.25	0.00
10.50	0.00
10.75	0.00
11.00	0.00
11.25	0.00
11.50	0.00
11.75	0.00
12.00	0.00
12.25	0.00
12.50	0.00
12.75	0.00
13.00	0.00
13.25	0.00
13.50	0.00
13.75	0.00
14.00	0.00
14.25	0.00
14.50	0.00
14.75	0.00
15.00	0.00
15.25	0.00
15.50	0.00
15.75	0.00
2693
#a	b	m	n	rho	err/%
36	63	45	48	1.124960	1.983203
36	54	50	52	9.231370	0.390412
36	54	48	50	1.242580	1.811510
36	54	42	44	1.131180	1.973230
36	54	40	42	1.648780	1.406947
36	54	38	40	5.331520	0.552095
36	45	40	41	1.921660	1.231209
36	45	39	40	3.573530	0.740373
36	45	42	43	3.336760	0.780891
36	45	37	38	11.629700	0.344828
35	62	53	56	1.492910	1.536158
35	62	50	53	0.983571	2.243943
35	62	38	41	3.453040	0.760298
35	53	49	51	10.321200	0.367072
35	53	47	49	1.751500	1.334367
35	44	40	41	2.132130	1.126391
35	44	39	40	2.875290	0.879036
34	61	55	58	3.052630	0.837809
34	61	49	52	1.213360	1.851056
34	61	43	46	1.089750	2.041808
34	52	46	48	1.295250	1.744734
34	52	44	46	1.270820	1.775019
34	52	40	42	1.065000	2.085323
34	43	40	41	3.730170	0.716396
34	43	38	39	1.351770	1.678865
34	43	37	38	2.422220	1.011777
33	60	54	57	2.646080	0.940509
33	60	48	51	1.100300	2.023855
33	60	45	48	1.015060	2.179586
33	60	39	42	1.690880	1.376133
