9	10	37	46
9	10	69	78
10	11	38	47
10	11	70	79
12	14	36	54
12	14	68	86
15	16	43	52
15	16	75	84
17	18	45	54
17	18	77	86
36	69	1	109
36	69	2	110
36	69	3	111
39	40	33	42
39	40	34	43
39	40	35	44
39	40	36	45
39	40	37	46
39	40	38	47
39	40	67	76
39	42	33	60
39	42	36	63
41	42	34	43
41	42	35	44
41	42	36	45
41	42	37	46
41	42	38	47
41	42	39	48
41	42	40	49
41	42	69	78
41	44	35	62
46	47	39	48
46	47	40	49
46	47	41	50
46	47	42	51
46	47	43	52
46	47	44	53
46	47	45	54
46	47	74	83
49	50	42	51
49	50	43	52
49	50	44	53
49	50	45	54
49	50	46	55
49	50	47	56
49	50	48	57
49	50	77	86
50	52	36	54
50	52	38	56
50	52	40	58
50	52	42	60
50	52	44	62
50	52	46	64
50	52	74	92
50	53	35	62
50	83	8	116
50	83	9	117
50	83	10	118
50	83	11	119
50	83	12	120
50	83	13	121
50	83	14	122
50	83	15	123
50	83	16	124
50	83	17	125
52	86	2	122
52	86	4	124
52	86	6	126
52	86	8	128
53	55	39	57
53	55	41	59
53	55	43	61
53	55	45	63
53	55	77	95
57	59	43	61
57	59	45	63
61	62	54	63
61	62	55	64
61	94	19	127
61	94	20	128
62	63	55	64
68	38	98	26
68	70	66	84
72	74	66	84
72	74	68	86
72	74	70	88
72	75	66	93
72	75	69	96
73	75	33	51
73	75	65	83
73	75	67	85
73	75	69	87
73	75	71	89
75	45	97	25
75	45	99	27
75	45	101	29
75	45	103	31
76	77	40	49
76	77	69	78
76	77	70	79
76	77	71	80
76	77	72	81
76	77	73	82
76	77	74	83
76	77	75	84
77	78	41	50
77	78	70	79
77	78	71	80
77	78	72	81
77	78	73	82
77	78	74	83
77	78	75	84
77	78	76	85
79	80	43	52
79	80	72	81
79	80	73	82
79	80	74	83
79	80	75	84
79	80	76	85
79	80	77	86
79	80	78	87
79	81	39	57
79	81	65	83
79	81	67	85
79	81	69	87
79	81	71	89
79	81	73	91
79	81	75	93
79	81	77	95
81	82	45	54
81	82	74	83
81	82	75	84
81	82	76	85
81	82	77	86
81	82	78	87
81	82	79	88
81	82	80	89
82	52	98	26
82	52	100	28
82	52	102	30
82	52	104	32
82	85	67	94
84	86	44	62
84	86	70	88
84	86	72	90
84	86	74	92
84	86	76	94
84	86	78	96
86	87	50	59
86	87	79	88
86	87	80	89
86	87	81	90
86	87	82	91
86	87	83	92
86	87	84	93
86	87	85	94
87	90	66	93
87	90	69	96
88	58	100	28
88	58	102	30
88	58	104	32
88	91	67	94
89	58	111	27
89	58	112	28
89	58	113	29
89	58	114	30
89	58	115	31
89	58	116	32
89	90	53	62
89	90	82	91
89	90	83	92
89	90	84	93
89	90	85	94
89	90	86	95
89	90	87	96
91	93	77	95
92	62	104	32
110	111	42	51
110	111	74	83
112	114	40	58
112	114	72	90
115	116	47	56
115	116	79	88
115	117	43	61
115	117	75	93
117	118	49	58
117	118	81	90
117	119	45	63
117	119	77	95
118	119	50	59
118	119	82	91
119	120	51	60
119	120	83	92
122	123	54	63
122	123	86	95
