X [m]	Y [m]	Z [m]	Xequi	Yequi	Zequi	Xchange	Ychange	Zchange
204515.856	93219.782	142.095	0	0	0	0	0	142.095
204515.682	93217.789	142.255	2	0	0	2	0	142.255
204515.508	93215.797	142.213	4	0	0	4	0	142.213
204515.334	93213.804	142.427	6	0	0	6	0	142.427
204515.16	93211.812	142.645	8	0	0	8	0	142.645
204514.987	93209.82	142.69	10	0	0	10	0	142.69
204514.813	93207.827	142.73	12	0	0	12	0	142.73
204514.639	93205.835	142.835	14	0	0	14	0	142.835
204514.465	93203.842	142.88	16	0	0	16	0	142.88
204514.291	93201.85	142.86	18	0	0	18	0	142.86
204514.117	93199.857	142.785	20	0	0	20	0	142.785
204513.943	93197.865	142.73	22	0	0	22	0	142.73
204513.769	93195.873	142.733	24	0	0	24	0	142.733
204513.596	93193.88	142.775	26	0	0	26	0	142.775
204513.422	93191.888	142.86	28	0	0	28	0	142.86
204513.248	93189.895	142.9	30	0	0	30	0	142.9
204513.074	93187.903	142.9	32	0	0	32	0	142.9
204512.9	93185.91	142.955	34	0	0	34	0	142.955
204512.726	93183.918	142.96	36	0	0	36	0	142.96
204512.552	93181.926	142.955	38	0	0	38	0	142.955
204512.378	93179.933	142.9	40	0	0	40	0	142.9
204512.204	93177.941	142.955	42	0	0	42	0	142.955
204512.031	93175.948	142.843	44	0	0	44	0	142.843
204511.857	93173.956	142.845	46	0	0	46	0	142.845
204511.683	93171.963	142.88	48	0	0	48	0	142.88
204511.509	93169.971	142.93	50	0	0	50	0	142.93
204511.335	93167.979	142.91	52	0	0	52	0	142.91
204511.161	93165.986	142.9	54	0	0	54	0	142.9
204510.987	93163.994	142.895	56	0	0	56	0	142.895
204510.813	93162.001	142.885	58	0	0	58	0	142.885
204510.64	93160.009	142.95	60	0	0	60	0	142.95
204510.466	93158.016	142.938	62	0	0	62	0	142.938
204510.292	93156.024	142.937	64	0	0	64	0	142.937
204510.118	93154.032	142.91	66	0	0	66	0	142.91
204509.944	93152.039	142.847	68	0	0	68	0	142.847
204509.77	93150.047	142.855	70	0	0	70	0	142.855
204509.596	93148.054	142.857	72	0	0	72	0	142.857
204509.422	93146.062	142.88	74	0	0	74	0	142.88
204509.249	93144.069	142.91	76	0	0	76	0	142.91
204509.075	93142.077	142.903	78	0	0	78	0	142.903
204508.901	93140.085	142.98	80	0	0	80	0	142.98
204508.727	93138.092	142.965	82	0	0	82	0	142.965
204508.553	93136.1	142.96	84	0	0	84	0	142.96
204508.379	93134.107	143.017	86	0	0	86	0	143.017
204508.205	93132.115	143.04	88	0	0	88	0	143.04
204508.031	93130.122	143.06	90	0	0	90	0	143.06
204507.857	93128.13	143	92	0	0	92	0	143
204507.684	93126.138	142.99	94	0	0	94	0	142.99
204507.51	93124.145	142.98	96	0	0	96	0	142.98
204507.336	93122.153	142.92	98	0	0	98	0	142.92
204507.162	93120.16	142.88	100	0	0	100	0	142.88
204506.988	93118.168	142.893	102	0	0	102	0	142.893
204506.814	93116.175	142.91	104	0	0	104	0	142.91
204506.64	93114.183	142.92	106	0	0	106	0	142.92
204506.466	93112.191	142.95	108	0	0	108	0	142.95
204506.293	93110.198	142.965	110	0	0	110	0	142.965
204506.119	93108.206	143.03	112	0	0	112	0	143.03
204505.945	93106.213	143.095	114	0	0	114	0	143.095
204505.771	93104.221	143.155	116	0	0	116	0	143.155
204505.597	93102.228	143.17	118	0	0	118	0	143.17
204505.423	93100.236	143.255	120	0	0	120	0	143.255
204505.249	93098.244	143.28	122	0	0	122	0	143.28
204505.075	93096.251	143.37	124	0	0	124	0	143.37
204504.901	93094.259	143.264	126	0	0	126	0	143.264
